product_id,sku,name,category_mn,category_code,gender,season,age_min_years,age_max_years,size_label,height_min_cm,height_max_cm,weight_min_kg,weight_max_kg,color,brand,material,price_mnt,stock_qty,stock_status,description_mn
11,KID-VES-146-0011,Carter's жилет 146,жилет,vest,хүү,намар,12,13.16,146,147.6,152.5,36.5,50.3,бор,Carter's,хөвөн + полиэстер,28300,12,байгаа,бор өнгийн хүү хүүхдийн жилет – өдөр тутмын эдэлгээ даахуйц
12,KID-LEG-116-0012,Mothercare тирко 116,тирко,leggings,хүү,хавар,7,7.89,116,117.9,121.3,22.5,27.6,улаан,Mothercare,ус нэвтэрдэггүй даавуу,22600,3,байгаа,улаан өнгийн хүү хүүхдийн тирко
13,KID-TSH-146-0013,Carter's футболка 146,футболка,tshirt,хүү,all-season,11,13.48,146,146.3,151.5,35.6,50.0,лаванда,Carter's,хөвөн + полиэстер,19100,5,байгаа,лаванда өнгийн хүү хүүхдийн футболка
14,KID-SKI-122-0014,Next Kids юбка 122,юбка,skirt,хүү,хавар,8,8.61,122,122.9,127.6,24.5,31.9,хар,Next Kids,ус нэвтэрдэггүй даавуу,35400,20,байгаа,хар өнгийн хүү хүүхдийн юбка
15,KID-VES-140-0015,HappyCloud жилет 140,жилет,vest,хүү,өвөл,11,12.94,140,141.2,145.7,33.1,44.5,шар,HappyCloud,ноосон холимог,37100,7,байгаа,"шар өнгийн хүү хүүхдийн жилет – дулаан доторлогоотой, өдөр тутмын эдэлгээ даахуйц"
16,KID-SKI-152-0016,MiniStep юбка 152,юбка,skirt,unisex,all-season,13,14,152,153.5,157.5,40.0,54.7,ягаан,MiniStep,хөвөн + полиэстер,31700,15,байгаа,ягаан өнгийн unisex хүүхдийн юбка
17,KID-OUT-68-0017,Fivebaby куртик 68,куртик,outerwear,unisex,намар,0.2,1.0,68,67.8,71.9,5.5,8.9,крем,Fivebaby,органик хөвөн,68300,20,байгаа,"крем өнгийн unisex хүүхдийн куртик – арьсанд ээлтэй органик материалтай, өдөр тутмын эдэлгээ даахуйц"
18,KID-LEG-122-0018,LittleFox тирко 122,тирко,leggings,охин,all-season,7,9.39,122,123.6,127.8,24.9,32.4,саарал,LittleFox,ноосон холимог,27200,5,байгаа,саарал өнгийн охин хүүхдийн тирко
19,KID-SET-74-0019,MongolKids костюм 74,костюм,set,охин,all-season,0.4,2.32,74,72.7,77.5,8.3,11.2,голт бор,MongolKids,ус нэвтэрдэггүй даавуу,51900,14,байгаа,голт бор өнгийн охин хүүхдийн костюм – өдөр тутмын эдэлгээ даахуйц
20,KID-OUT-74-0020,Uniqlo Kids куртик 74,куртик,outerwear,хүү,зун,1,2.28,74,72.4,78.5,8.0,10.9,дарс улаан,Uniqlo Kids,флис доторлогоотой,81200,24,байгаа,дарс улаан өнгийн хүү хүүхдийн куртик
21,KID-BOD-128-0021,Nike Kids onesie 128,onesie,bodysuit,unisex,өвөл,9,10.18,128,129.7,133.5,28.3,35.9,цамрай ягаан,Nike Kids,ноосон холимог,29200,8,байгаа,"цамрай ягаан өнгийн unisex хүүхдийн onesie – дулаан доторлогоотой, өдөр тутмын эдэлгээ даахуйц"
22,KID-TOP-74-0022,BabyStar цамц 74,цамц,top,unisex,зун,1,2.0,74,73.2,78.2,7.9,10.9,ногоон,BabyStar,хөвөн + полиэстер,32600,19,байгаа,ногоон өнгийн unisex хүүхдийн цамц
23,KID-VES-116-0023,Mothercare жилет 116,жилет,vest,unisex,намар,7,7.66,116,116.9,122.5,22.3,27.9,крем,Mothercare,ноосон холимог,27500,9,байгаа,крем өнгийн unisex хүүхдийн жилет
24,KID-OVE-134-0024,Uniqlo Kids комбинзон 134,комбинзон,overall,хүү,all-season,9,11.04,134,135.6,139.3,29.6,40.2,саарал,Uniqlo Kids,ус нэвтэрдэггүй даавуу,50600,10,байгаа,саарал өнгийн хүү хүүхдийн комбинзон – өдөр тутмын эдэлгээ даахуйц
25,KID-VES-62-0025,Next Kids жилет 62,жилет,vest,unisex,all-season,0.1,1.64,62,58.1,65.8,3.8,7.0,ягаан,Next Kids,ус нэвтэрдэггүй даавуу,40300,9,байгаа,ягаан өнгийн unisex хүүхдийн жилет
26,KID-DRE-92-0026,MongolKids даашинз 92,даашинз,dress,охин,зун,3,4.39,92,91.4,96.3,12.7,16.2,шар,MongolKids,флис доторлогоотой,45100,3,байгаа,шар өнгийн охин хүүхдийн даашинз – өдөр тутмын эдэлгээ даахуйц
27,KID-DRE-62-0027,Zara Kids даашинз 62,даашинз,dress,хүү,all-season,0.5,1.35,62,59.2,65.7,3.7,7.1,улаан,Zara Kids,хөвөн + полиэстер,41900,23,байгаа,улаан өнгийн хүү хүүхдийн даашинз
28,KID-LEG-74-0028,HappyCloud тирко 74,тирко,leggings,охин,намар,1,1.87,74,72.4,78.4,8.1,11.2,хар,HappyCloud,флис доторлогоотой,20900,9,байгаа,хар өнгийн охин хүүхдийн тирко
29,KID-SLE-92-0029,Mothercare пижама 92,пижама,sleepwear,охин,зун,2,4.48,92,91.5,97.5,12.7,16.0,улбар шар,Mothercare,100% хөвөн,39600,15,байгаа,улбар шар өнгийн охин хүүхдийн пижама – өдөр тутмын эдэлгээ даахуйц
30,KID-VES-86-0030,GAP Kids жилет 86,жилет,vest,хүү,өвөл,1,3.01,86,85.3,90.6,11.4,13.7,голт бор,GAP Kids,флис доторлогоотой,32800,13,байгаа,голт бор өнгийн хүү хүүхдийн жилет – дулаан доторлогоотой
31,KID-BOD-146-0031,MiniStep onesie 146,onesie,bodysuit,охин,all-season,11,13.08,146,147.5,151.9,36.5,50.1,хар,MiniStep,хөвөн + полиэстер,25400,0,дууссан,хар өнгийн охин хүүхдийн onesie
32,KID-PAN-92-0032,Mothercare өмд 92,өмд,pants,unisex,намар,3,4.74,92,92.3,96.8,12.7,15.7,нойтон цас,Mothercare,хөвөн + полиэстер,36400,13,байгаа,нойтон цас өнгийн unisex хүүхдийн өмд
33,KID-TOP-68-0033,Zara Kids цамц 68,цамц,top,охин,зун,1,1.77,68,66.5,71.3,6.2,9.4,минт ногоон,Zara Kids,хөвөн + полиэстер,24000,13,байгаа,минт ногоон өнгийн охин хүүхдийн цамц
34,KID-OUT-92-0034,MongolKids куртик 92,куртик,outerwear,охин,all-season,3,4.67,92,91.2,96.6,13.1,16.0,улаан,MongolKids,органик хөвөн,104500,16,байгаа,"улаан өнгийн охин хүүхдийн куртик – арьсанд ээлтэй органик материалтай, өдөр тутмын эдэлгээ даахуйц"
35,KID-DRE-146-0035,LittleFox даашинз 146,даашинз,dress,хүү,all-season,12,12.58,146,146.6,153.0,36.5,49.9,хөх,LittleFox,флис доторлогоотой,44500,0,дууссан,хөх өнгийн хүү хүүхдийн даашинз
36,KID-SET-140-0036,Mothercare костюм 140,костюм,set,хүү,хавар,11,11.51,140,141.8,145.5,33.1,44.8,цамрай ягаан,Mothercare,органик хөвөн,45000,17,байгаа,цамрай ягаан өнгийн хүү хүүхдийн костюм – арьсанд ээлтэй органик материалтай
37,KID-VES-134-0037,Uniqlo Kids жилет 134,жилет,vest,хүү,all-season,10,11.68,134,135.2,139.4,29.8,40.1,минт ногоон,Uniqlo Kids,хөвөн + полиэстер,28500,21,байгаа,минт ногоон өнгийн хүү хүүхдийн жилет
38,KID-PAN-80-0038,OshKosh өмд 80,өмд,pants,unisex,зун,1,2.54,80,79.2,83.1,9.0,11.8,шар,OshKosh,100% хөвөн,34100,11,байгаа,шар өнгийн unisex хүүхдийн өмд
39,KID-SET-92-0039,Nike Kids костюм 92,костюм,set,охин,өвөл,3,4.98,92,91.5,97.5,12.6,15.7,улбар шар,Nike Kids,ноосон холимог,54900,13,байгаа,улбар шар өнгийн охин хүүхдийн костюм – дулаан доторлогоотой
40,KID-VES-74-0040,Carter's жилет 74,жилет,vest,unisex,all-season,0.4,2.0,74,72.8,77.5,8.4,11.4,тэнгэрийн хөх,Carter's,ноосон холимог,41900,19,байгаа,тэнгэрийн хөх өнгийн unisex хүүхдийн жилет
41,KID-BOD-104-0041,Carter's onesie 104,onesie,bodysuit,unisex,хавар,5,5.71,104,104.8,109.6,17.1,21.2,цагаан,Carter's,ноосон холимог,26100,5,байгаа,цагаан өнгийн unisex хүүхдийн onesie
42,KID-SLE-104-0042,NomadBaby пижама 104,пижама,sleepwear,охин,өвөл,5,5.84,104,104.1,110.5,17.3,21.4,улаан,NomadBaby,ус нэвтэрдэггүй даавуу,32000,10,байгаа,улаан өнгийн охин хүүхдийн пижама – дулаан доторлогоотой
43,KID-VES-62-0043,BabyStar жилет 62,жилет,vest,охин,зун,0.3,1.3,62,59.9,66.7,3.7,7.3,хар,BabyStar,хөвөн + полиэстер,39500,12,байгаа,хар өнгийн охин хүүхдийн жилет
44,KID-SLE-92-0044,Next Kids пижама 92,пижама,sleepwear,unisex,хавар,3,4.4,92,91.1,96.3,13.0,15.8,хөх,Next Kids,флис доторлогоотой,40000,22,байгаа,хөх өнгийн unisex хүүхдийн пижама
45,KID-SET-98-0045,RainbowCub костюм 98,костюм,set,охин,зун,4,4.91,98,97.6,102.1,15.3,17.7,цагаан,RainbowCub,ус нэвтэрдэггүй даавуу,47200,3,байгаа,цагаан өнгийн охин хүүхдийн костюм
46,KID-VES-140-0046,Fivebaby жилет 140,жилет,vest,охин,хавар,11,12.04,140,140.1,146.3,33.0,44.5,хар,Fivebaby,ноосон холимог,32800,25,байгаа,хар өнгийн охин хүүхдийн жилет
47,KID-OUT-80-0047,RainbowCub куртик 80,куртик,outerwear,unisex,all-season,2,2.52,80,79.7,83.8,9.1,12.0,бор,RainbowCub,органик хөвөн,93200,14,байгаа,"бор өнгийн unisex хүүхдийн куртик – арьсанд ээлтэй органик материалтай, өдөр тутмын эдэлгээ даахуйц"
48,KID-SKI-104-0048,RainbowCub юбка 104,юбка,skirt,хүү,хавар,5,6.04,104,103.6,110.8,16.9,21.2,хөх,RainbowCub,хөвөн + полиэстер,32700,8,байгаа,хөх өнгийн хүү хүүхдийн юбка
49,KID-SKI-152-0049,Next Kids юбка 152,юбка,skirt,охин,зун,13,14,152,153.0,157.6,40.4,55.2,хар,Next Kids,ноосон холимог,30300,12,байгаа,хар өнгийн охин хүүхдийн юбка – өдөр тутмын эдэлгээ даахуйц
50,KID-OUT-62-0050,Adidas Kids куртик 62,куртик,outerwear,хүү,хавар,0,1.2,62,58.7,65.5,4.2,6.5,индиго,Adidas Kids,ус нэвтэрдэггүй даавуу,113900,24,байгаа,индиго өнгийн хүү хүүхдийн куртик – өдөр тутмын эдэлгээ даахуйц
51,KID-PAN-146-0051,SoftHug өмд 146,өмд,pants,хүү,all-season,11,13.39,146,147.2,152.9,36.3,50.0,далайн цэнхэр,SoftHug,флис доторлогоотой,26200,20,байгаа,далайн цэнхэр өнгийн хүү хүүхдийн өмд – өдөр тутмын эдэлгээ даахуйц
52,KID-PAN-134-0052,GAP Kids өмд 134,өмд,pants,unisex,хавар,9,11.09,134,134.8,140.2,30.1,39.6,шар,GAP Kids,100% хөвөн,28000,15,байгаа,шар өнгийн unisex хүүхдийн өмд
53,KID-TSH-146-0053,Uniqlo Kids футболка 146,футболка,tshirt,unisex,өвөл,12,13.55,146,146.6,152.8,36.3,50.0,голт бор,Uniqlo Kids,ус нэвтэрдэггүй даавуу,14700,6,байгаа,"голт бор өнгийн unisex хүүхдийн футболка – дулаан доторлогоотой, өдөр тутмын эдэлгээ даахуйц"
54,KID-LEG-134-0054,RainbowCub тирко 134,тирко,leggings,хүү,all-season,10,10.95,134,134.5,140.5,30.4,40.1,бор,RainbowCub,ноосон холимог,29200,10,байгаа,бор өнгийн хүү хүүхдийн тирко
55,KID-SKI-128-0055,SoftHug юбка 128,юбка,skirt,охин,зун,9,10.11,128,129.3,134.5,28.2,35.9,улаан,SoftHug,органик хөвөн,26700,21,байгаа,"улаан өнгийн охин хүүхдийн юбка – арьсанд ээлтэй органик материалтай, өдөр тутмын эдэлгээ даахуйц"
56,KID-TOP-134-0056,LittleFox цамц 134,цамц,top,хүү,намар,10,10.8,134,134.1,140.2,30.1,40.3,минт ногоон,LittleFox,ус нэвтэрдэггүй даавуу,34000,9,байгаа,минт ногоон өнгийн хүү хүүхдийн цамц
57,KID-TOP-146-0057,GAP Kids цамц 146,цамц,top,unisex,хавар,12,12.85,146,147.2,151.1,35.9,50.4,лаванда,GAP Kids,ноосон холимог,32600,14,байгаа,лаванда өнгийн unisex хүүхдийн цамц
58,KID-VES-56-0058,MongolKids жилет 56,жилет,vest,unisex,өвөл,0,0.72,56,49.4,57.3,3.3,5.3,тэнгэрийн хөх,MongolKids,флис доторлогоотой,35900,17,байгаа,тэнгэрийн хөх өнгийн unisex хүүхдийн жилет – дулаан доторлогоотой
59,KID-PAN-116-0059,NomadBaby өмд 116,өмд,pants,unisex,all-season,7,8.48,116,117.5,121.4,22.4,28.2,дарс улаан,NomadBaby,100% хөвөн,34200,12,байгаа,дарс улаан өнгийн unisex хүүхдийн өмд
60,KID-DRE-110-0060,MongolKids даашинз 110,даашинз,dress,unisex,all-season,5,7.44,110,110.7,116.0,18.7,24.0,улбар шар,MongolKids,флис доторлогоотой,34700,17,байгаа,улбар шар өнгийн unisex хүүхдийн даашинз
61,KID-DRE-56-0061,BabyStar даашинз 56,даашинз,dress,охин,all-season,0.0,0.65,56,50.6,57.8,3.4,5.1,саарал,BabyStar,100% хөвөн,47100,1,байгаа,саарал өнгийн охин хүүхдийн даашинз – өдөр тутмын эдэлгээ даахуйц
62,KID-VES-98-0062,Uniqlo Kids жилет 98,жилет,vest,хүү,хавар,3,5.04,98,97.7,103.8,15.4,18.2,ягаан,Uniqlo Kids,ноосон холимог,35500,13,байгаа,ягаан өнгийн хүү хүүхдийн жилет – өдөр тутмын эдэлгээ даахуйц
63,KID-SLE-152-0063,Mothercare пижама 152,пижама,sleepwear,unisex,зун,13,14,152,152.7,157.9,40.2,54.8,улбар шар,Mothercare,100% хөвөн,24500,13,байгаа,улбар шар өнгийн unisex хүүхдийн пижама
64,KID-TSH-86-0064,Next Kids футболка 86,футболка,tshirt,unisex,өвөл,2,2.64,86,85.1,91.0,11.0,13.7,хөх,Next Kids,100% хөвөн,20000,12,байгаа,хөх өнгийн unisex хүүхдийн футболка – дулаан доторлогоотой
65,KID-LEG-68-0065,HappyCloud тирко 68,тирко,leggings,охин,all-season,1,1.85,68,67.1,71.7,5.7,8.9,цагаан,HappyCloud,органик хөвөн,19300,24,байгаа,цагаан өнгийн охин хүүхдийн тирко – арьсанд ээлтэй органик материалтай
66,KID-BOD-104-0066,RainbowCub onesie 104,onesie,bodysuit,охин,намар,5,5.5,104,104.9,109.5,17.2,20.7,цагаан,RainbowCub,хөвөн + полиэстер,19900,10,байгаа,цагаан өнгийн охин хүүхдийн onesie
67,KID-DRE-98-0067,TinyBear даашинз 98,даашинз,dress,хүү,хавар,4,5.28,98,98.5,102.4,15.3,18.0,бор,TinyBear,хөвөн + полиэстер,34100,15,байгаа,бор өнгийн хүү хүүхдийн даашинз
68,KID-TSH-140-0068,MongolKids футболка 140,футболка,tshirt,unisex,хавар,10,12.32,140,140.3,145.0,33.3,44.8,лаванда,MongolKids,хөвөн + полиэстер,18700,9,байгаа,лаванда өнгийн unisex хүүхдийн футболка – өдөр тутмын эдэлгээ даахуйц
69,KID-OVE-68-0069,Mothercare комбинзон 68,комбинзон,overall,охин,зун,0.2,1.32,68,66.1,71.7,6.2,8.8,ягаан,Mothercare,100% хөвөн,36200,15,байгаа,ягаан өнгийн охин хүүхдийн комбинзон
70,KID-DRE-140-0070,H&M Kids даашинз 140,даашинз,dress,охин,зун,11,12.65,140,141.6,145.2,33.1,44.7,саарал,H&M Kids,100% хөвөн,33400,29,байгаа,саарал өнгийн охин хүүхдийн даашинз – өдөр тутмын эдэлгээ даахуйц
71,KID-BOD-110-0071,OshKosh onesie 110,onesie,bodysuit,хүү,хавар,6,7.66,110,111.1,115.7,18.8,23.7,ягаан,OshKosh,100% хөвөн,30500,20,байгаа,ягаан өнгийн хүү хүүхдийн onesie
72,KID-OUT-152-0072,Nike Kids куртик 152,куртик,outerwear,unisex,хавар,13,13.65,152,152.7,157.7,40.3,55.1,хар,Nike Kids,флис доторлогоотой,83500,26,байгаа,хар өнгийн unisex хүүхдийн куртик
73,KID-SET-86-0073,Adidas Kids костюм 86,костюм,set,охин,намар,1,3.43,86,85.5,90.5,10.8,14.5,минт ногоон,Adidas Kids,флис доторлогоотой,36000,16,байгаа,минт ногоон өнгийн охин хүүхдийн костюм – өдөр тутмын эдэлгээ даахуйц
74,KID-PAN-92-0074,RainbowCub өмд 92,өмд,pants,unisex,өвөл,3,4.6,92,92.7,96.7,12.9,16.4,цамрай ягаан,RainbowCub,100% хөвөн,22400,11,байгаа,"цамрай ягаан өнгийн unisex хүүхдийн өмд – дулаан доторлогоотой, өдөр тутмын эдэлгээ даахуйц"
75,KID-LEG-122-0075,Fivebaby тирко 122,тирко,leggings,unisex,өвөл,8,9.51,122,122.6,128.4,24.9,31.6,минт ногоон,Fivebaby,ноосон холимог,20800,14,байгаа,минт ногоон өнгийн unisex хүүхдийн тирко – дулаан доторлогоотой
76,KID-OVE-62-0076,MiniStep комбинзон 62,комбинзон,overall,хүү,намар,0.2,1.28,62,58.7,66.2,4.3,7.3,дарс улаан,MiniStep,хөвөн + полиэстер,53300,4,байгаа,дарс улаан өнгийн хүү хүүхдийн комбинзон – өдөр тутмын эдэлгээ даахуйц
77,KID-TOP-110-0077,Adidas Kids цамц 110,цамц,top,охин,өвөл,6,6.63,110,111.5,116.4,19.1,24.0,далайн цэнхэр,Adidas Kids,хөвөн + полиэстер,31000,19,байгаа,"далайн цэнхэр өнгийн охин хүүхдийн цамц – дулаан доторлогоотой, өдөр тутмын эдэлгээ даахуйц"
78,KID-LEG-152-0078,RainbowCub тирко 152,тирко,leggings,unisex,өвөл,13,13.84,152,152.2,157.7,40.1,55.2,ногоон,RainbowCub,органик хөвөн,18700,10,байгаа,"ногоон өнгийн unisex хүүхдийн тирко – дулаан доторлогоотой, арьсанд ээлтэй органик материалтай"
79,KID-PAN-140-0079,RainbowCub өмд 140,өмд,pants,unisex,өвөл,11,11.75,140,141.4,145.1,33.2,44.8,ягаан,RainbowCub,ноосон холимог,27100,0,дууссан,ягаан өнгийн unisex хүүхдийн өмд – дулаан доторлогоотой
80,KID-BOD-128-0080,Next Kids onesie 128,onesie,bodysuit,unisex,хавар,9,9.72,128,129.3,133.9,27.7,35.7,тэнгэрийн хөх,Next Kids,флис доторлогоотой,20100,14,байгаа,тэнгэрийн хөх өнгийн unisex хүүхдийн onesie – өдөр тутмын эдэлгээ даахуйц
81,KID-VES-110-0081,Carter's жилет 110,жилет,vest,хүү,хавар,6,6.78,110,111.7,116.7,19.3,24.5,шар,Carter's,ус нэвтэрдэггүй даавуу,30900,14,байгаа,шар өнгийн хүү хүүхдийн жилет
82,KID-SKI-152-0082,Zara Kids юбка 152,юбка,skirt,охин,all-season,12,14,152,153.5,157.3,39.9,55.3,ногоон,Zara Kids,органик хөвөн,27000,14,байгаа,"ногоон өнгийн охин хүүхдийн юбка – арьсанд ээлтэй органик материалтай, өдөр тутмын эдэлгээ даахуйц"
83,KID-SKI-68-0083,NomadBaby юбка 68,юбка,skirt,хүү,өвөл,0.0,1.37,68,66.2,72.5,6.1,8.9,ягаан,NomadBaby,органик хөвөн,29000,17,байгаа,"ягаан өнгийн хүү хүүхдийн юбка – дулаан доторлогоотой, арьсанд ээлтэй органик материалтай"
84,KID-OUT-68-0084,HappyCloud куртик 68,куртик,outerwear,охин,өвөл,0.1,1.96,68,67.1,71.9,5.6,9.1,голт бор,HappyCloud,ноосон холимог,77900,16,байгаа,"голт бор өнгийн охин хүүхдийн куртик – дулаан доторлогоотой, өдөр тутмын эдэлгээ даахуйц"
85,KID-LEG-104-0085,Next Kids тирко 104,тирко,leggings,охин,зун,5,6.84,104,103.7,109.3,16.7,21.2,бор,Next Kids,флис доторлогоотой,21300,21,байгаа,бор өнгийн охин хүүхдийн тирко – өдөр тутмын эдэлгээ даахуйц
86,KID-DRE-128-0086,GAP Kids даашинз 128,даашинз,dress,unisex,зун,9,9.61,128,129.5,134.0,27.8,36.4,голт бор,GAP Kids,хөвөн + полиэстер,43700,11,байгаа,голт бор өнгийн unisex хүүхдийн даашинз
87,KID-SKI-134-0087,Next Kids юбка 134,юбка,skirt,хүү,зун,9,11.05,134,134.9,139.9,30.1,40.4,тэнгэрийн хөх,Next Kids,органик хөвөн,20800,33,байгаа,тэнгэрийн хөх өнгийн хүү хүүхдийн юбка – арьсанд ээлтэй органик материалтай
88,KID-SET-56-0088,GAP Kids костюм 56,костюм,set,unisex,өвөл,0.1,0.82,56,50.5,57.2,3.4,5.1,цагаан,GAP Kids,флис доторлогоотой,46000,12,байгаа,"цагаан өнгийн unisex хүүхдийн костюм – дулаан доторлогоотой, өдөр тутмын эдэлгээ даахуйц"
89,KID-VES-110-0089,GAP Kids жилет 110,жилет,vest,хүү,өвөл,6,7.83,110,110.2,116.2,19.1,23.7,индиго,GAP Kids,флис доторлогоотой,25400,14,байгаа,индиго өнгийн хүү хүүхдийн жилет – дулаан доторлогоотой
90,KID-SLE-104-0090,Carter's пижама 104,пижама,sleepwear,unisex,хавар,5,6.51,104,103.2,110.9,17.4,20.8,шар,Carter's,органик хөвөн,26800,23,байгаа,"шар өнгийн unisex хүүхдийн пижама – арьсанд ээлтэй органик материалтай, өдөр тутмын эдэлгээ даахуйц"
91,KID-OVE-134-0091,Adidas Kids комбинзон 134,комбинзон,overall,охин,хавар,10,11.49,134,134.1,140.3,30.0,39.9,хар,Adidas Kids,ноосон холимог,55400,14,байгаа,хар өнгийн охин хүүхдийн комбинзон
92,KID-VES-152-0092,MongolKids жилет 152,жилет,vest,unisex,all-season,13,14,152,152.6,159.0,40.2,54.9,крем,MongolKids,100% хөвөн,39500,25,байгаа,крем өнгийн unisex хүүхдийн жилет
93,KID-OVE-140-0093,RainbowCub комбинзон 140,комбинзон,overall,хүү,all-season,11,12.81,140,141.1,147.0,32.8,45.1,крем,RainbowCub,ноосон холимог,61700,5,байгаа,крем өнгийн хүү хүүхдийн комбинзон – өдөр тутмын эдэлгээ даахуйц
94,KID-BOD-104-0094,NomadBaby onesie 104,onesie,bodysuit,охин,намар,5,6.11,104,104.9,110.4,17.5,21.4,хар,NomadBaby,хөвөн + полиэстер,27400,8,байгаа,хар өнгийн охин хүүхдийн onesie – өдөр тутмын эдэлгээ даахуйц
95,KID-OUT-74-0095,MiniStep куртик 74,куртик,outerwear,охин,хавар,1,2.43,74,73.0,77.6,7.5,10.9,голт бор,MiniStep,хөвөн + полиэстер,79200,11,байгаа,голт бор өнгийн охин хүүхдийн куртик
96,KID-VES-92-0096,TinyBear жилет 92,жилет,vest,охин,зун,3,3.91,92,91.1,96.4,12.5,16.3,индиго,TinyBear,хөвөн + полиэстер,32900,16,байгаа,индиго өнгийн охин хүүхдийн жилет
97,KID-SLE-68-0097,GAP Kids пижама 68,пижама,sleepwear,unisex,all-season,0.1,1.26,68,67.5,72.1,6.0,8.6,бор,GAP Kids,органик хөвөн,34300,15,байгаа,бор өнгийн unisex хүүхдийн пижама – арьсанд ээлтэй органик материалтай
98,KID-SKI-116-0098,Carter's юбка 116,юбка,skirt,охин,намар,7,7.85,116,118.0,121.8,21.8,27.9,шар,Carter's,органик хөвөн,36100,18,байгаа,"шар өнгийн охин хүүхдийн юбка – арьсанд ээлтэй органик материалтай, өдөр тутмын эдэлгээ даахуйц"
99,KID-PAN-86-0099,GAP Kids өмд 86,өмд,pants,охин,хавар,2,3.97,86,85.7,90.6,10.6,13.8,крем,GAP Kids,хөвөн + полиэстер,39100,9,байгаа,крем өнгийн охин хүүхдийн өмд
100,KID-PAN-140-0100,H&M Kids өмд 140,өмд,pants,хүү,хавар,10,12.36,140,141.3,146.2,32.7,44.9,голт бор,H&M Kids,хөвөн + полиэстер,27800,28,байгаа,голт бор өнгийн хүү хүүхдийн өмд – өдөр тутмын эдэлгээ даахуйц
101,KID-SKI-134-0101,LittleFox юбка 134,юбка,skirt,охин,all-season,10,10.84,134,136.0,139.3,29.5,39.7,цагаан,LittleFox,флис доторлогоотой,27900,12,байгаа,цагаан өнгийн охин хүүхдийн юбка – өдөр тутмын эдэлгээ даахуйц
102,KID-OUT-62-0102,RainbowCub куртик 62,куртик,outerwear,хүү,all-season,0.0,1.89,62,59.0,65.2,3.8,7.4,тэнгэрийн хөх,RainbowCub,хөвөн + полиэстер,78700,27,байгаа,тэнгэрийн хөх өнгийн хүү хүүхдийн куртик
103,KID-VES-74-0103,H&M Kids жилет 74,жилет,vest,хүү,өвөл,0.5,2.33,74,73.5,78.6,8.3,10.8,цамрай ягаан,H&M Kids,ус нэвтэрдэггүй даавуу,37200,20,байгаа,цамрай ягаан өнгийн хүү хүүхдийн жилет – дулаан доторлогоотой
